Event ID,Event,Campus,Event Organizer,Description,Prize Pool,Event Date
E185,Photography Workshop Series,RR Campus,Pixelloid,"A series of photography workshops covering different aspects of the craft. Participants will learn about composition, lighting, editing techniques, and other essential skills to enhance their photography.",Photography Workshop Certificates,2024-01-02
E186,Portrait Photography Session,RR Campus,Pixelloid,"A hands-on portrait photography session. Participants will have the opportunity to practice portrait photography, capturing the expressions and personalities of their subjects in a controlled setting.",Portrait Photography Achievement,2024-01-15
E187,Aftermovie Creation Contest,RR Campus,Pixelloid,"A contest challenging participants to create aftermovies for campus events. The event encourages creative video editing and storytelling skills, highlighting the club's role in event documentation.",Aftermovie Creation Awards,2024-01-28
E188,Photography Scavenger Hunt,RR Campus,Pixelloid,"A scavenger hunt where participants use photography to capture items on a list. The event combines creativity, photography skills, and teamwork in a fun and engaging challenge.",Scavenger Hunt Photo Awards,2024-02-10
E189,Mobile Photography Marathon,RR Campus,Pixelloid,"A photography marathon focusing on mobile photography. Participants will explore the campus with their mobile devices, capturing moments and showcasing the capabilities of mobile cameras.",Mobile Photography Excellence Certificates,2024-02-23
E190,Night Photography Excursion,RR Campus,Pixelloid,"An excursion focusing on night photography. Participants will explore the campus at night, capturing unique and atmospheric shots using various techniques for low-light conditions.",Night Photography Achievement,2024-03-07
E191,Photography Editing Challenge,RR Campus,Pixelloid,"A challenge where participants edit and enhance photographs using photo editing software. The event highlights the importance of post-processing skills in photography.",Editing Challenge Certificates,2024-03-20
E192,Annual Photo Awards Ceremony,RR Campus,Pixelloid,"An awards ceremony recognizing the best photographs produced by Pixelloid members throughout the year. The event celebrates outstanding contributions to the art of photography within the club.",Photo Awards Trophies,2024-04-02
E193,IEEE Awareness Seminar,RR Campus,IEEE PESU Student Branch,"A seminar introducing students to IEEE and its vast divisions. Participants will gain insights into the various technical fields covered by IEEE and the opportunities available for involvement.",IEEE Awareness Certificates,2023-12-08
E194,Technical Paper Presentation,RR Campus,IEEE PESU Student Branch,"A competition where students present technical papers on innovative topics. The event encourages research and presentation skills, providing a platform for students to share their technical insights.",Best Paper Presentation Awards,2023-12-20
E195,Workshop on Emerging Technologies,RR Campus,IEEE PESU Student Branch,"A workshop focusing on emerging technologies in various IEEE fields. Participants will gain hands-on experience, practical insights, and knowledge about the latest advancements in technology.",Emerging Technologies Workshop Certificates,2024-01-02
E196,Coding Challenge: CodeXpertise,RR Campus,IEEE PESU Student Branch,"A coding challenge to showcase participants' coding expertise. The event emphasizes problem-solving skills, coding efficiency, and algorithmic knowledge, aligning with IEEE's technical focus.",CodeXpertise Coding Awards,2024-01-15
E197,Robotics Competition: RoboTech,RR Campus,IEEE PESU Student Branch,"A robotics competition challenging participants to design and build robots for specific tasks. The event promotes practical application of engineering principles and fosters creativity in robotics.",RoboTech Robotics Trophies,2024-01-28
E198,IoT Hackathon: Connect-a-Thon,RR Campus,IEEE PESU Student Branch,"A hackathon focusing on the Internet of Things (IoT). Participants will work on IoT projects, showcasing their skills in developing innovative solutions for real-world challenges.",Connect-a-Thon IoT Prizes,2024-02-10
E199,Electronics Project Showcase,RR Campus,IEEE PESU Student Branch,"A showcase featuring innovative electronics projects developed by students. Participants will present their projects, share insights, and engage in discussions on electronic technologies.",Project Showcase Recognition,2024-02-23
E200,Technical Quiz Bowl,RR Campus,IEEE PESU Student Branch,"A quiz bowl testing participants' technical knowledge in various IEEE domains. The event provides a competitive and fun platform for students to showcase their understanding of technical concepts.",Quiz Bowl Winner Certificates,2024-03-07
E201,Networking and Industry Interaction Session,RR Campus,IEEE PESU Student Branch,"An interactive session connecting students with industry professionals in IEEE-related fields. Participants will have the opportunity to network, learn about industry trends, and gain insights into career paths.",Networking Session Participation Certificates,2024-03-20
E202,Annual Technical Symposium: TECHxperience,RR Campus,IEEE PESU Student Branch,"An annual technical symposium featuring keynote speakers, technical talks, and panel discussions on cutting-edge technologies. The event provides a comprehensive technical learning experience for participants.",TECHxperience Symposium Certificates,2024-04-02
E203,Book Discussion: "Literary Voyage",RR Campus,The Grimm Readers,"A book discussion session titled 'Literary Voyage.' Participants will delve into the selected literary work, sharing their insights, interpretations, and engaging in thoughtful discussions about the book.",Literary Voyage Book Discussion Certificates,2023-12-08
E204,Author Q&A Session,RR Campus,The Grimm Readers,"An interactive Q&A session with a renowned author. Participants will have the opportunity to ask questions, gain insights into the author's writing process, and discuss the themes of their literary works.",Author Q&A Session Participation Certificates,2023-12-20
E205,Literary Quiz Night,RR Campus,The Grimm Readers,"A quiz night focusing on literature and book-related trivia. Participants will compete in teams, answering questions about famous authors, classic literature, and literary genres.",Literary Quiz Night Trophies,2024-01-02
E206,Storytelling Workshop,RR Campus,The Grimm Readers,"A workshop on the art of storytelling. Participants will learn techniques for effective storytelling, creating engaging narratives, and captivating an audience through the power of words.",Storytelling Workshop Certificates,2024-01-15
E207,Book Swap and Share Event,RR Campus,The Grimm Readers,"An event where participants can bring and exchange books with fellow readers. The event promotes community building and encourages the sharing of literary treasures among book enthusiasts.",Book Swap Participation Tokens,2024-01-28
E208,Literary Open Mic Night,RR Campus,The Grimm Readers,"An open mic night celebrating literature through spoken word performances. Participants can share their favorite literary pieces, read excerpts from books, or even perform original literary works.",Open Mic Night Literary Appreciation,2024-02-10
E209,Genre Exploration Series: Mystery Night,RR Campus,The Grimm Readers,"A series focusing on different literary genres, starting with a 'Mystery Night.' Participants will explore mystery novels, discuss their favorite mysteries, and engage in conversations about the genre.",Genre Exploration Series Participation Certificates,2024-02-23
E210,Book-to-Film Screening: "Literary Cinematics",RR Campus,The Grimm Readers,"A screening of a film adaptation of a literary work. Participants will compare the cinematic interpretation with the original book, discussing the nuances and differences between the two.",Literary Cinematics Film Appreciation,2024-03-07
E211,Poetry Slam: "Verses Unleashed",RR Campus,The Grimm Readers,"A poetry slam event where participants can unleash their creativity through spoken word poetry. The event encourages self-expression and celebrates the beauty of poetic language.",Verses Unleashed Poetry Slam Awards,2024-03-20
E212,Literary Symposium: "Book Confluence",RR Campus,The Grimm Readers,"A symposium bringing together literature enthusiasts for discussions, talks, and presentations on various literary topics. The event provides a platform for sharing ideas and fostering a love for literature.",Book Confluence Symposium Certificates,2024-04-02
E213,Community Clean-Up Drive,RR Campus,Aikya,"A community service event focusing on cleaning and beautifying public spaces. Participants will work together to contribute to the well-being of the community and promote a sense of responsibility.",Clean-Up Drive Participation Certificates,2023-12-08
E214,Youth Leadership Summit,RR Campus,Aikya,"A summit aiming to empower young individuals with leadership skills. Participants will engage in workshops, discussions, and activities to enhance their leadership potential and social responsibility.",Leadership Summit Certificates,2023-12-20
E215,Social Awareness Campaign,RR Campus,Aikya,"A campaign to raise awareness about social issues. Participants will organize and execute initiatives to inform the community about relevant topics, fostering a sense of social responsibility among the audience.",Awareness Campaign Recognition,2024-01-02
E216,Environmental Sustainability Workshop,RR Campus,Aikya,"A workshop focusing on environmental sustainability and responsible practices. Participants will learn about eco-friendly habits, sustainable living, and how to make positive contributions to the environment.",Sustainability Workshop Certificates,2024-01-15
E217,Blood Donation Camp,RR Campus,Aikya,"A blood donation camp in collaboration with local healthcare organizations. Participants will have the opportunity to donate blood, contributing to the well-being of those in need and promoting a sense of social responsibility.",Blood Donation Certificates,2024-01-28
E218,Empowerment Seminar for Youth,RR Campus,Aikya,"A seminar addressing various aspects of personal and professional empowerment for young individuals. Participants will gain insights into self-improvement, goal-setting, and building a positive mindset.",Empowerment Seminar Recognition,2024-02-10
E219,Global Citizenship Symposium,RR Campus,Aikya,"A symposium exploring the concept of global citizenship. Participants will engage in discussions and activities aimed at fostering a sense of responsibility towards global issues and encouraging cross-cultural understanding.",Global Citizenship Symposium Certificates,2024-02-23
E220,Youth Volunteer Fair,RR Campus,Aikya,"A fair showcasing volunteer opportunities for young individuals. Participants can explore and sign up for various volunteer initiatives, promoting active participation in community service and social responsibility.",Volunteer Fair Participation Tokens,2024-03-07
E221,Leadership Development Workshop,RR Campus,DHRUVA Forum,"A workshop focusing on leadership development. Participants will engage in activities and discussions to enhance their leadership skills, emphasizing principles-centered leadership and cheerful leadership.",Leadership Workshop Certificates,2023-12-08
E222,Personality Enrichment Seminar,RR Campus,DHRUVA Forum,"A seminar aiming to enrich participants' personalities. Topics include communication skills, emotional intelligence, and personal branding to help individuals face life's challenges with confidence.",Enrichment Seminar Recognition,2023-12-20
E223,Youth Empowerment Conference,RR Campus,DHRUVA Forum,"A conference empowering youth with knowledge and skills. Participants will attend talks and interactive sessions on various aspects of personal and professional development, preparing them for life's challenges.",Empowerment Conference Certificates,2024-01-02
E224,Principles-Centered Leadership Forum,RR Campus,DHRUVA Forum,"A forum discussion on principles-centered leadership. Participants will explore the principles that guide effective leadership, discussing real-world applications and sharing insights on cheerful leadership.",Leadership Forum Participation Tokens,2024-01-15
E225,Personal Growth Challenge,RR Campus,DHRUVA Forum,"A challenge encouraging participants to set and achieve personal growth goals. The event promotes self-reflection, goal-setting, and continuous improvement in various aspects of life.",Personal Growth Challenge Awards,2024-01-28
E226,Effective Communication Workshop,RR Campus,DHRUVA Forum,"A workshop focusing on effective communication skills. Participants will learn and practice communication techniques to express themselves confidently and engage effectively with others.",Communication Workshop Certificates,2024-02-10
E227,Cheerful Leadership Summit,RR Campus,DHRUVA Forum,"A summit celebrating cheerful leadership. Participants will attend talks, panel discussions, and engage in activities that highlight the importance of maintaining a positive and cheerful leadership style.",Cheerful Leadership Summit Recognition,2024-02-23
E228,Space Exploration Symposium,RR Campus,Equinox - The Space Club,"A symposium exploring recent advancements in space exploration. Participants will hear from experts in the field, engage in discussions, and learn about the exciting developments in Space Science and Technology.",Exploration Symposium Certificates,2023-12-08
E229,Stargazing Night,RR Campus,Equinox - The Space Club,"An evening dedicated to stargazing and celestial observation. Participants will have the opportunity to use telescopes, learn about constellations, and appreciate the wonders of the night sky.",Stargazing Night Astronomer Certificates,2023-12-20
E230,Rocket Launch Challenge,RR Campus,Equinox - The Space Club,"A challenge where participants design and launch model rockets. The event promotes hands-on learning, creativity in rocket design, and an understanding of the principles of rocketry.",Rocket Launch Challenge Awards,2024-01-02
E231,Satellite Technology Workshop,RR Campus,Equinox - The Space Club,"A workshop focusing on satellite technology. Participants will gain insights into satellite design, communication, and applications, fostering knowledge about the role of satellites in space exploration.",Satellite Technology Workshop Certificates,2024-01-15
E232,Space Tech Innovations Expo,RR Campus,Equinox - The Space Club,"An exhibition showcasing innovations in Space Science and Technology. Participants will explore cutting-edge technologies, projects, and research in the field of space exploration.",Tech Innovations Expo Participation Tokens,2024-01-28
E233,Space Quiz Challenge,RR Campus,Equinox - The Space Club,"A quiz challenge covering various aspects of space science, astronomy, and space technology. Participants will compete individually or in teams, testing their knowledge about the vast universe.",Space Quiz Challenge Trophies,2024-02-10
E234,Mars Rover Design Competition,RR Campus,Equinox - The Space Club,"A competition challenging participants to design and build Mars rover prototypes. The event encourages creativity in engineering, problem-solving skills, and an understanding of space exploration challenges.",Rover Design Competition Awards,2024-02-23
E235,International Space Week Celebration,RR Campus,Equinox - The Space Club,"A week-long celebration of International Space Week. Participants will engage in activities, talks, and events highlighting the importance of space exploration and its impact on global collaboration.",Space Week Celebration Certificates,2024-03-07
E236,Game Jam: CodeFrenzy,RR Campus,Game Development Club,"A game jam event challenging developers to create games within a specified time frame. Participants will showcase their coding and design skills, fostering creativity in game development.",CodeFrenzy Game Jam Awards,2023-12-08
E237,Unity Workshop: Basics of Game Development,RR Campus,Game Development Club,"A workshop introducing the basics of game development using the Unity game engine. Participants will learn about game design, coding, and the fundamentals of creating interactive experiences.",Unity Workshop Certificates,2023-12-20
E238,Game Design Competition,RR Campus,Game Development Club,"A competition where participants present their game design concepts. The event encourages creativity in game design, storytelling, and the development of innovative and engaging game concepts.",Game Design Competition Prizes,2024-01-02
E239,Virtual Reality Gaming Night,RR Campus,Game Development Club,"An event showcasing virtual reality (VR) gaming experiences. Participants will have the opportunity to experience and explore VR games, gaining insights into the future of gaming technology.",VR Gaming Night Experience Certificates,2024-01-15
E240,Indie Game Showcase,RR Campus,Game Development Club,"A showcase featuring indie games developed by students. Participants will present their indie game projects, share insights into the development process, and engage with the gaming community.",Indie Game Showcase Recognition,2024-01-28
E241,Esports Tournament: GameArena,RR Campus,Game Development Club,"An esports tournament featuring popular multiplayer games. Participants will compete in teams or individually, showcasing their gaming skills and fostering a sense of camaraderie within the gaming community.",GameArena Esports Trophies,2024-02-10
E242,Game Development Panel Discussion,RR Campus,Game Development Club,"A panel discussion featuring experienced game developers. Participants will gain insights into the game development industry, learn about career opportunities, and engage in discussions with industry professionals.",Panel Discussion Participation Certificates,2024-02-23
E243,Robotics Workshop: Hands-On Basics,RR Campus,IEEE RAS,"A hands-on workshop introducing the basics of robotics. Participants will learn about the components, programming, and practical aspects of building and controlling robots.",Hands-On Basics Workshop Certificates,2023-12-08
E244,Automation Seminar: Emerging Technologies,RR Campus,IEEE RAS,"A seminar discussing emerging technologies in automation. Participants will explore advancements in the field, with talks on AI-driven automation, smart systems, and their applications.",Emerging Technologies Seminar Certificates,2023-12-20
E245,Robotics Competition: Bot Challenge,RR Campus,IEEE RAS,"A robotics competition challenging participants to design and build robots for specific challenges. The event encourages innovation, problem-solving, and collaboration among participants.",Bot Challenge Robotics Competition Awards,2024-01-02
E246,Industry Insights Panel: Robotics Trends,RR Campus,IEEE RAS,"A panel discussion featuring experts from the robotics industry. Participants will gain insights into current trends, challenges, and future developments in the field of robotics and automation.",Panel Discussion Participation Certificates,2024-01-15
E247,AR and VR in Robotics Showcase,RR Campus,IEEE RAS,"A showcase highlighting the applications of Augmented Reality (AR) and Virtual Reality (VR) in robotics. Participants will experience demonstrations and learn about the integration of AR and VR technologies in robotics.",AR/VR Showcase Participation Tokens,2024-01-28
E248,Robotics Hackathon: CodeRover,RR Campus,IEEE RAS,"A hackathon focused on robotics programming challenges. Participants will code solutions for real-world robotics problems, competing individually or in teams to showcase their programming skills.",CodeRover Hackathon Prizes,2024-02-10
E249,Automation Expo: TechConnect,RR Campus,IEEE RAS,"An expo showcasing the latest advancements in robotics and automation. Participants will explore exhibits, demonstrations, and engage with industry representatives to understand the technological landscape.",TechConnect Expo Recognition,2024-02-23
E250,Language Learning Workshop: Basics,RR Campus,Linguista!,"A workshop introducing the basics of language learning. Participants will explore effective language learning strategies, linguistic fundamentals, and engage in practical exercises to enhance their language skills.",Language Basics Workshop Certificates,2023-12-08
E251,Cultural Language Exchange,RR Campus,Linguista!,"An event promoting cultural exchange through language. Participants will have the opportunity to practice and learn different languages in a relaxed and friendly environment, fostering cross-cultural connections.",Cultural Exchange Participation Tokens,2023-12-20
E252,Language Carnival: Multilingual Fair,RR Campus,Linguista!,"A carnival celebrating linguistic diversity. Participants will explore different language booths, cultural displays, and engage in activities that highlight the richness of various languages around the world.",Multilingual Fair Carnival Prizes,2024-01-02
E253,Language Debate Challenge,RR Campus,Linguista!,"A debate challenge focusing on language-related topics. Participants will engage in debates, discussions, and critical thinking exercises centered around language, communication, and linguistics.",Debate Challenge Awards,2024-01-15
E254,Polyglot Talent Showcase,RR Campus,Linguista!,"A showcase featuring the language talents of participants. Individuals or groups will present performances, skits, or creative expressions that highlight their proficiency in multiple languages.",Talent Showcase Recognition,2024-01-28
E255,Language Quiz Bee,RR Campus,Linguista!,"A quiz competition covering various aspects of languages, linguistics, and cultural nuances. Participants will compete individually or in teams, testing their knowledge and language expertise.",Quiz Bee Trophies,2024-02-10
E256,Language Learning Symposium,RR Campus,Linguista!,"A symposium exploring effective language learning methodologies. Participants will attend talks, panel discussions, and interactive sessions to gain insights into different language learning approaches.",Learning Symposium Certificates,2024-02-23
E257,Women in Tech Symposium,RR Campus,MahilAI,"A symposium focused on women's contributions and challenges in the field of technology. Participants will hear from women leaders, engage in discussions, and explore ways to overcome gender disparities in the tech industry.",Women in Tech Symposium Certificates,2023-12-08
E258,Tech for Equality Workshop,RR Campus,MahilAI,"A workshop exploring the use of technology for promoting gender equality. Participants will learn about initiatives, projects, and technologies that contribute to addressing societal issues related to women.",Equality Workshop Participation Tokens,2023-12-20
E259,InnovateHER Tech Challenge,RR Campus,MahilAI,"A tech challenge encouraging participants to develop innovative solutions addressing challenges faced by women. The event fosters creativity, problem-solving, and a commitment to leveraging technology for positive change.",InnovateHER Tech Challenge Awards,2024-01-02
E260,Women's Empowerment Forum,RR Campus,MahilAI,"A forum discussing women's empowerment and leadership. Participants will hear inspiring stories, engage in conversations about breaking barriers, and explore ways to empower women in various fields.",Empowerment Forum Certificates,2024-01-15
E261,Coding for Social Impact Hackathon,RR Campus,MahilAI,"A hackathon challenging participants to code solutions that have a positive social impact, with a focus on addressing challenges faced by women. The event promotes coding skills for a cause.",Social Impact Hackathon Prizes,2024-01-28
E262,Leadership in AI Panel Discussion,RR Campus,MahilAI,"A panel discussion featuring women leaders in the field of AI. Participants will gain insights into leadership roles, career paths, and the impact of women in advancing artificial intelligence.",Leadership Discussion Participation Certificates,2024-02-10
E263,Women in STEM Career Fair,RR Campus,MahilAI,"A career fair connecting women with opportunities in science, technology, engineering, and mathematics (STEM) fields. Participants can explore job opportunities, network with industry professionals, and gain career insights.",STEM Career Fair Recognition,2024-02-23
E264,Fashion Show: Vogue Vista,RR Campus,Meraki,"A dazzling fashion show showcasing the latest trends and designs. Participants will witness a display of creativity, style, and innovation in the world of fashion.",Vogue Vista Fashion Show Awards,2023-12-08
E265,Designer's Workshop: Trends Unveiled,RR Campus,Meraki,"A workshop unveiling the latest fashion trends. Participants will gain insights into the world of fashion design, explore emerging styles, and learn about the process of trendsetting.",Trends Unveiled Workshop Certificates,2023-12-20
E266,Photography Contest: Style Lens,RR Campus,Meraki,"A photography contest capturing style and fashion. Participants will showcase their photography skills, focusing on fashion elements, and compete for recognition in the Style Lens contest.",Style Lens Photography Contest Prizes,2024-01-02
E267,Fashion Entrepreneurship Seminar,RR Campus,Meraki,"A seminar exploring entrepreneurship in the fashion industry. Participants will hear from fashion entrepreneurs, learn about starting a fashion business, and gain insights into the business side of the fashion world.",Entrepreneurship Seminar Certificates,2024-01-15
E268,DIY Fashion Workshop,RR Campus,Meraki,"A do-it-yourself (DIY) workshop allowing participants to create their own fashion items. The event promotes creativity, sustainability, and a hands-on approach to fashion design.",DIY Fashion Workshop Participation Tokens,2024-01-28
E269,Celebrity Styling Challenge,RR Campus,Meraki,"A styling challenge where participants showcase their fashion styling skills. The event encourages creativity, trend interpretation, and an understanding of personal style.",Styling Challenge Celebrity Stylist Recognition,2024-02-10
E270,Meraki Fashion Bazaar,RR Campus,Meraki,"A fashion bazaar featuring unique and trendy clothing items. Participants can explore and purchase fashion pieces created by local designers and members of the fashion club.",Fashion Bazaar Shopping Vouchers,2024-02-23
E271,Music Jam Session: Harmony Unleashed,RR Campus,Music Club of PES,"A jam session bringing together musicians and music enthusiasts. Participants will experience a blend of musical genres, collaborative performances, and the joy of creating harmonious melodies.",Harmony Unleashed Jam Session Certificates,2023-12-08
E272,Acoustic Night: Melodies Under the Stars,RR Campus,Music Club of PES,"An acoustic night featuring soulful melodies under the stars. Participants will enjoy performances by acoustic musicians, creating a serene and intimate musical atmosphere.",Melodies Under the Stars Acoustic Night Tokens,2023-12-20
E273,Battle of the Bands: Rhythmic Rivalry,RR Campus,Music Club of PES,"A battle of the bands competition showcasing the rhythmic talent of participating bands. The event promotes friendly competition, musical diversity, and audience engagement.",Rhythmic Rivalry Battle of the Bands Awards,2024-01-02
E274,Music Workshop: Songwriting Masterclass,RR Campus,Music Club of PES,"A songwriting masterclass providing insights into the art of composing music. Participants will learn about song structure, lyric writing, and the creative process of crafting musical pieces.",Songwriting Masterclass Workshop Certificates,2024-01-15
E275,Concert in the Park: Symphony Serenade,RR Campus,Music Club of PES,"A concert in the park featuring a symphony serenade. Participants will enjoy an outdoor musical experience with orchestral arrangements, solo performances, and a celebration of musical diversity.",Symphony Serenade Concert Commemorative Tokens,2024-01-28
E276,Karaoke Night: Vocal Vibes,RR Campus,Music Club of PES,"A karaoke night where participants can showcase their vocal talents. The event encourages participation, camaraderie, and the joy of singing along to favorite tunes.",Vocal Vibes Karaoke Night Fun Prizes,2024-02-10
E277,Music Club Open Mic: Expressive Echoes,RR Campus,Music Club of PES,"An open mic event providing a platform for individuals to express themselves through music. Participants can share their talents, whether it be singing, playing instruments, or spoken word.",Expressive Echoes Open Mic Participation Certificates,2024-02-23
E278,Open Source Hackathon: Code Collaboration,RR Campus,PES Open Source,"A hackathon focused on collaborative coding for open source projects. Participants will work together to contribute code, solve real-world problems, and enhance their technical skills.",Code Collaboration Hackathon Certificates,2023-12-08
E279,Workshop: Git and GitHub Mastery,RR Campus,PES Open Source,"A workshop providing in-depth training on Git and GitHub. Participants will learn version control, collaboration workflows, and best practices for contributing to open source projects.",Git and GitHub Mastery Workshop Certificates,2023-12-20
E280,Open Source Project Showcase,RR Campus,PES Open Source,"A showcase event where members present their ongoing or completed open source projects. Participants will have the opportunity to demonstrate their work, share insights, and receive feedback.",Project Showcase Recognition,2024-01-02
E281,Panel Discussion: Open Source Advocacy,RR Campus,PES Open Source,"A panel discussion on the importance of open source advocacy. Panelists will share their experiences, discuss the impact of open source in the tech community, and explore ways to promote open source principles.",Open Source Advocacy Panel Discussion Participation Tokens,2024-01-15
E282,Code Review Session: Collaborative Critique,RR Campus,PES Open Source,"A code review session where participants collaboratively critique and improve each other's code. This event promotes constructive feedback, code quality improvement, and knowledge sharing.",Collaborative Critique Code Review Session Acknowledgments,2024-01-28
E283,Open Source Workshop: Licensing Essentials,RR Campus,PES Open Source,"A workshop focusing on open source licensing essentials. Participants will gain a comprehensive understanding of open source licenses, their implications, and how to choose the right license for a project.",Licensing Essentials Workshop Certificates,2024-02-10
E284,Open Source Symposium: Trends and Innovations,RR Campus,PES Open Source,"A symposium discussing current trends and innovations in the open source community. Speakers will share insights into the latest technologies, projects, and best practices shaping the open source landscape.",Trends and Innovations Symposium Participation Certificates,2024-02-23
E285,Short Film Festival: Showcase Your Talent,RR Campus,PESU ACTIONCUT,"A short film festival providing a platform for members to showcase their filmmaking talents. Participants can submit their short films for screening, and the event will conclude with an awards ceremony.",Talent Showcase and Awards,2023-12-10
E286,Workshop: Filmmaking Techniques,RR Campus,PESU ACTIONCUT,"A workshop focusing on essential filmmaking techniques. Participants will learn about cinematography, storytelling, editing, and other aspects crucial for creating compelling short films.",Filmmaking Techniques Workshop Certificates,2023-12-22
E287,Panel Discussion: Navigating the Film Industry,RR Campus,PESU ACTIONCUT,"A panel discussion on navigating the film industry. Industry experts will share insights, experiences, and advice for individuals interested in pursuing a career in filmmaking.",Film Industry Navigation Panel Discussion Participation Tokens,2024-01-05
E288,Short Film Collaboration Day,RR Campus,PESU ACTIONCUT,"A collaborative event where participants work together to create short films. Teams will be formed on the spot, and each team will produce a short film by the end of the day.",Collaboration Day Participation Certificates,2024-01-18
E289,Film Screening Night: Member Showcases,RR Campus,PESU ACTIONCUT,"A night dedicated to screening short films created by club members. This event allows members to share their work, receive feedback, and celebrate their achievements.",Member Showcases Recognition,2024-02-01
E290,Competition: Best Short Film,RR Campus,PESU ACTIONCUT,"A competition where participants submit their best short films for a chance to win the title of 'Best Short Film.' Entries will be judged based on creativity, storytelling, and technical excellence.",Best Short Film Competition Awards,2024-02-14
E291,Webinar: The Art of Film Editing,RR Campus,PESU ACTIONCUT,"A webinar focusing on the art of film editing. Participants will gain insights into the editing process, techniques for enhancing storytelling through editing, and industry-standard editing tools.",Art of Film Editing Webinar Certificates,2024-02-27
E292,Creative Workshop: Scriptwriting for Short Films,RR Campus,PESU ACTIONCUT,"A creative workshop on scriptwriting specifically tailored for short films. Participants will learn the fundamentals of crafting engaging and concise scripts for their filmmaking projects.",Scriptwriting Workshop Certificates,2024-03-12
E293,ConQuizTador 2024: National Quizzing Event,RR Campus,Quotient Quiz Club,"ConQuizTador 2024, a national-level quizzing event open to students from grade 8 to 12. The event aims to bring together quizzing enthusiasts from across the country and test their knowledge on a wide range of topics.",National Quizzing Event Trophies and Certificates,2023-12-10
E294,Weekly Quizzing Bonanza: EWD Edition,RR Campus,Quotient Quiz Club,"A weekly quizzing event held every Extended Working Day (EWD). Participants can join the fun and challenging quizzes to test their knowledge on diverse topics. Prizes awarded to top performers.",Weekly Quizzing Bonanza Certificates,2023-12-22
E295,Aatmatrisha Mega Quiz,RR Campus,Quotient Quiz Club,"A mega quiz event held as part of Aatmatrisha, the annual cultural fest. The quiz covers a wide range of topics, providing participants with an engaging and intellectually stimulating experience.",Aatmatrisha Mega Quiz Prizes,2024-01-05
E296,The Amateur Scientist Quizzes Series,RR Campus,Quotient Quiz Club,"A series of quizzes dedicated to topics related to amateur science. Participants will explore fascinating scientific concepts and discoveries in an accessible and enjoyable format.",Amateur Scientist Quizzes Series Certificates,2024-01-18
E297,IEEE Tech Quiz Challenge,RR Campus,Quotient Quiz Club,"A tech-centric quiz challenge organized in collaboration with IEEE. Participants will face questions related to the latest technologies, innovations, and developments in the tech industry.",IEEE Tech Quiz Challenge Awards,2024-02-01
E298,Samarpana Quiz: Testing General Knowledge,RR Campus,Quotient Quiz Club,"An inclusive quiz event designed to test participants' general knowledge across various domains. Samarpana Quiz encourages a diverse range of participants to showcase their knowledge and skills.",Samarpana Quiz Recognition,2024-02-14
E299,The Freshers Quiz Extravaganza,RR Campus,Quotient Quiz Club,"An extravaganza of quizzes specifically tailored for freshers. This event welcomes new students to the world of quizzing and provides a fun and engaging platform for them to participate and win exciting prizes.",Freshers Quiz Extravaganza Prizes,2024-02-27
E300,Instagram Quiz Series: Weekly Challenges,RR Campus,Quotient Quiz Club,"A series of weekly quiz challenges hosted on Instagram. Participants can join the quizzes through the club's Instagram page, showcasing their knowledge and competing for recognition and prizes.",Instagram Quiz Series Recognition,2024-03-12
E301,Community Cleanup Drive,RR Campus,Rotaract Club of PES University,"Join us in a community cleanup drive to contribute to the betterment of our local environment. Let's come together to make a positive impact and promote cleanliness and sustainability.",Certificates of Appreciation,2023-12-05
E302,Health and Wellness Workshop,RR Campus,Rotaract Club of PES University,"A workshop focused on promoting health and wellness. Participants will learn about healthy living, fitness routines, and mental well-being. Join us for an interactive and informative session.",Wellness Workshop Certificates,2023-12-15
E303,Education Outreach Program,RR Campus,Rotaract Club of PES University,"An outreach program aimed at providing educational support to underprivileged children. Volunteers will engage in teaching sessions and activities to make learning enjoyable for the young minds.",Certificates of Volunteering,2024-01-08
E304,Blood Donation Camp,RR Campus,Rotaract Club of PES University,"Contribute to the noble cause of saving lives by participating in our blood donation camp. Let's come together and make a difference in the lives of those in need.",Certificates of Blood Donation,2024-01-22
E305,Environmental Awareness Seminar,RR Campus,Rotaract Club of PES University,"A seminar focused on raising awareness about environmental issues and promoting sustainable practices. Learn about the importance of environmental conservation and how you can make a positive impact.",Certificates of Participation,2024-02-05
E306,Charity Run for a Cause,RR Campus,Rotaract Club of PES University,"Participate in a charity run to support a cause close to our hearts. Whether it's for education, healthcare, or community development, your participation will contribute to making a difference.",Certificates of Charity Run,2024-02-19
E307,Orphanage Visit and Activity Day,RR Campus,Rotaract Club of PES University,"A visit to an orphanage for a day filled with activities, games, and joy. Join us in spreading smiles and making a positive impact on the lives of the children at the orphanage.",Certificates of Volunteering,2024-03-04
E308,Clothing Drive for the Needy,RR Campus,Rotaract Club of PES University,"Contribute to our clothing drive to provide clothing for those in need. Let's come together as a community to support and uplift the less fortunate.",Certificates of Donations,2024-03-18
E309,Aeromodelling Workshop,RR Campus,Team Aeolus,"Join us for an interactive aeromodelling workshop where participants will learn the basics of building and flying model aircraft. Get hands-on experience and insights into the world of aeromodelling.",Participation Certificates,2023-12-10
